video_id,title,url,workout_type,duration_minutes,intervals_count,status,review_reason
3ap81sm30P8,Intense 30 Minute HIIT Session | Build Your VO2 Max,https://www.youtube.com/watch?v=3ap81sm30P8,HIIT,30,9,ok,
4Ek31_3PMW4,20 Min Cardio | Spin Bike Workout Without Music 🔇,https://www.youtube.com/watch?v=4Ek31_3PMW4,VO2max,20,0,needs_review,missing intervals
4YHC0MVCg0c,Cadence Training To Improve Pedalling | 25 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=4YHC0MVCg0c,Cadence,25,21,ok,
4u1G51P756U,Ramp It Up: Punchy Intervals | 40 Minute HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=4u1G51P756U,HIIT,40,33,ok,
5nwxi58BiaQ,Running On Empty | 25 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=5nwxi58BiaQ,Power,25,17,ok,
6I_GpZZUWhQ,40 Minute HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=6I_GpZZUWhQ,HIIT,40,0,needs_review,missing intervals
6iObJAItynU,45 Minute Un-Paced Efforts | GCN Training Workouts No Music,https://www.youtube.com/watch?v=6iObJAItynU,Power,45,0,needs_review,missing intervals
74DmqDy7vvE,Ramp It Up! | 50 Minute HIIT Workout,https://www.youtube.com/watch?v=74DmqDy7vvE,HIIT,50,21,ok,
7EK-lsQCSWk,Get Fit In 40! | Indoor Cycling HIIT Workout,https://www.youtube.com/watch?v=7EK-lsQCSWk,HIIT,40,25,ok,
7Nxhie5X1tA,Build Your FTP & Increase Muscle Mass | 30 Mins HIIT Cycling Workout,https://www.youtube.com/watch?v=7Nxhie5X1tA,HIIT,30,0,needs_review,missing intervals
7gxwfezzqdQ,60 Minute Reverse Pyramid Training | Indoor HIIT Cycling Session,https://www.youtube.com/watch?v=7gxwfezzqdQ,HIIT,59,0,needs_review,missing intervals
8juOXfj7-S4,Go Until You Blow! | 30 Minutes Max Effort Cycling Workout,https://www.youtube.com/watch?v=8juOXfj7-S4,HIIT,30,0,needs_review,missing intervals
8w-FuRMilH4,Indoor Cycling Workout | Sufferfest 30 Minute Ramp Session 'The Escalator',https://www.youtube.com/watch?v=8w-FuRMilH4,Unknown,31,0,needs_review,missing intervals
AiDD_aqdnK0,HIIT - 35 Minute Cycle Training Workout - Hill Training,https://www.youtube.com/watch?v=AiDD_aqdnK0,Non-workout,36,0,skipped,non-workout
BvStoiM0z48,60 Mins Progressive Intervals - Steps To Glory! | GCN Training Workouts 🔈,https://www.youtube.com/watch?v=BvStoiM0z48,HIIT,60,0,needs_review,missing intervals
C9TBzwhwyPg,Easy Cadence Workout | 25 Minute Indoor Cycling HIIT,https://www.youtube.com/watch?v=C9TBzwhwyPg,HIIT,25,15,ok,
CKlHcg-yBVo,Get Pumped With Grace | 30 Min HIIT Bike Workout,https://www.youtube.com/watch?v=CKlHcg-yBVo,HIIT,34,0,needs_review,missing intervals
CatAe9kXrp8,Conor’s Racing Bonanza! | 35 Minute HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=CatAe9kXrp8,HIIT,35,27,ok,
ChBZ9Hp-zqE,30 Minute Sprint and Threshold HIIT Indoor Cycling Cardio Workout Without Music 🔇 | Get Fit Fast,https://www.youtube.com/watch?v=ChBZ9Hp-zqE,HIIT,30,0,needs_review,missing intervals
Cvy9-NNiEio,30 Minutes Of Threshold Power! | HIIT Cycling Workout,https://www.youtube.com/watch?v=Cvy9-NNiEio,HIIT,30,0,needs_review,missing intervals
D9is0fZQ4V0,Extreme Fat Burning Workout - 50 Minute Indoor Cycling Class,https://www.youtube.com/watch?v=D9is0fZQ4V0,Non-workout,51,0,skipped,non-workout
DE5DYJGWDpU,VO2 MAX BOOSTER | 30 Minute HIIT Indoor Bike Workout,https://www.youtube.com/watch?v=DE5DYJGWDpU,HIIT,30,32,ok,
DJJ4YA684qg,Seated Surges | 30 Mins HIIT Cycling Workout,https://www.youtube.com/watch?v=DJJ4YA684qg,HIIT,30,20,ok,
DdRZyRoONuE,Rolling With The Hills | 45 Mins HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=DdRZyRoONuE,HIIT,45,24,ok,
EOwiGfISjX0,Get To Work On Your Cycling Fitness! | 25 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=EOwiGfISjX0,Power,25,22,ok,
Fa-V3zf7-wE,35 Minute Threshold HIIT Indoor Cycling Session,https://www.youtube.com/watch?v=Fa-V3zf7-wE,HIIT,35,0,needs_review,missing intervals
GRru5z8lW3Q,15 Minute HIIT Cardio Indoor Cycling Workout Without Music 🔇 | Lose Weight Fast,https://www.youtube.com/watch?v=GRru5z8lW3Q,HIIT,15,0,needs_review,missing intervals
GyyPvfzGscY,HIIT Training For Time Crunched Parents! | 30 Minute Indoor Cycling Session,https://www.youtube.com/watch?v=GyyPvfzGscY,HIIT,30,0,needs_review,missing intervals
I8P6ngXhGRY,60 Minute Increase Your Threshold Power Indoor Workout,https://www.youtube.com/watch?v=I8P6ngXhGRY,Sweet Spot,60,0,needs_review,missing intervals
IfR1l3a3uNA,HIIT Indoor Cycling Workout | 55 Minute FTP Threshold Intervals,https://www.youtube.com/watch?v=IfR1l3a3uNA,HIIT,56,0,needs_review,missing intervals
J9fAk04oTtA,HIIT Indoor Cycling Workout | 45 Minute VO2 Max Intervals,https://www.youtube.com/watch?v=J9fAk04oTtA,HIIT,45,0,needs_review,missing intervals
KJvt6xOUep4,3 Mins On 2 Mins Off | Indoor Training HIIT Cycling Session,https://www.youtube.com/watch?v=KJvt6xOUep4,HIIT,40,0,needs_review,missing intervals
KOBa3W7EaLU,Give Me One Minute | 20 Minute HIIT Workout,https://www.youtube.com/watch?v=KOBa3W7EaLU,HIIT,20,20,ok,
MvO2LRlVsyI,Low Cadence Workout | 30 Minute Indoor Cycling Training Session,https://www.youtube.com/watch?v=MvO2LRlVsyI,Cadence,30,0,needs_review,missing intervals
N5Xo9WPloew,60 Minute Increase Your Threshold Power Indoor Workout | NO MUSIC,https://www.youtube.com/watch?v=N5Xo9WPloew,Sweet Spot,60,0,needs_review,missing intervals
Ndia-ql47Yc,Tough Time Trial Efforts | 35 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=Ndia-ql47Yc,Zone 2,35,10,ok,
Nm2birGdJqk,50 Minute Threshold Pyramid | Increase Your Power!,https://www.youtube.com/watch?v=Nm2birGdJqk,HIIT,50,0,needs_review,missing intervals
Od14d1MyoOc,High Cadence Sprints | 20 Minute HIIT Cycling Workout,https://www.youtube.com/watch?v=Od14d1MyoOc,HIIT,22,0,needs_review,missing intervals
Om1XM6tJ9Ak,FTP Booster Extended Efforts | 55 Minute Indoor Cycling Training Workout,https://www.youtube.com/watch?v=Om1XM6tJ9Ak,Sweet Spot,55,0,needs_review,missing intervals
PSfKV8jYSrw,Maximum Intensity Hill Climb Efforts | 35 Minute HIIT Cycling Workout,https://www.youtube.com/watch?v=PSfKV8jYSrw,HIIT,35,0,needs_review,missing intervals
PXamrwTAMvY,Spin Those Legs! | 40 Mins Indoor Cycling Workout,https://www.youtube.com/watch?v=PXamrwTAMvY,HIIT,40,18,ok,
PjnNeqS_Yh8,Ollie’s Zone 2 Tour Des Stations Training | 30 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=PjnNeqS_Yh8,Zone 2,30,13,ok,
Pln_nGVk7Js,15 Minute HIIT Cardio Indoor Cycling Workout | Lose Weight Fast,https://www.youtube.com/watch?v=Pln_nGVk7Js,HIIT,15,0,needs_review,missing intervals
PuC4slucVrk,30 Minute High Cadence HIIT Indoor Cycling Cardio Workout Without Music 🔇  | Lose Weight Fast,https://www.youtube.com/watch?v=PuC4slucVrk,HIIT,30,0,needs_review,missing intervals
Pvg9c0-iYgg,Fast Fitness Workout - High Intensity 35 Minute Indoor Cycling Training,https://www.youtube.com/watch?v=Pvg9c0-iYgg,HIIT,34,0,needs_review,missing intervals
QB69Pwl6GI8,Indoor Cycling Workout | 60 Minute Endurance Intervals: Fitness Training,https://www.youtube.com/watch?v=QB69Pwl6GI8,HIIT,60,0,needs_review,missing intervals
QR-cFEYn0FM,Quick & Sharp Sprinting Efforts | 25 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=QR-cFEYn0FM,HIIT,25,0,needs_review,missing intervals
QUoToFsMNig,30 Minute HIIT Cardio Indoor Cycling Workout | Lose Weight Fast,https://www.youtube.com/watch?v=QUoToFsMNig,HIIT,30,0,needs_review,missing intervals
QVUEWb88iv0,50 Mins Aerobic Efforts - Drop Ollie Like A Boss! | GCN Training Workouts NO MUSIC,https://www.youtube.com/watch?v=QVUEWb88iv0,Zone 2,50,0,needs_review,missing intervals
QklBrfmChro,30 Minute Sprint and Threshold HIIT Indoor Cycling Cardio Workout | Get Fit Fast,https://www.youtube.com/watch?v=QklBrfmChro,HIIT,30,0,needs_review,missing intervals
QuKEyPhRrMM,HIIT Workout - High Intensity Intervals | GCN 25 Minute Bike Session,https://www.youtube.com/watch?v=QuKEyPhRrMM,HIIT,25,0,needs_review,missing intervals
RaIRVHAPR9A,55 Minute Cycling Training Ramp Session | Dialling In Your Training Zones,https://www.youtube.com/watch?v=RaIRVHAPR9A,HIIT,55,0,needs_review,missing intervals
SmUrDhmBe78,Full Effort VO2 Max Intervals | 30 Mins HIIT Bike Workout,https://www.youtube.com/watch?v=SmUrDhmBe78,HIIT,30,18,ok,
TDVExXAtQYw,40 Minute Drop Ollie At All Cost Indoor Training Session Without Music,https://www.youtube.com/watch?v=TDVExXAtQYw,Power,40,0,needs_review,missing intervals
TO1h5fbOLAA,Quick HIIT Sprint Workout | 20 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=TO1h5fbOLAA,HIIT,20,23,ok,
Tcw22Yph2u0,40 Minute HIIT Workout | Boost Your Climbing Power,https://www.youtube.com/watch?v=Tcw22Yph2u0,HIIT,40,7,ok,
TgspMhC3IWU,Get Fit Fast! | 40 Minute Sweet Spot Indoor Cycling Session,https://www.youtube.com/watch?v=TgspMhC3IWU,Sweet Spot,41,0,needs_review,missing intervals
UKenONcURLI,30 Minute HIIT Fat Burn Workout | Train With Mitchelton-Scott,https://www.youtube.com/watch?v=UKenONcURLI,HIIT,30,0,needs_review,missing intervals
UVEmmw6mQdI,Under Over Power Blocks | 30 Minute Indoor Cycling Session,https://www.youtube.com/watch?v=UVEmmw6mQdI,Power,30,0,needs_review,missing intervals
Umrgux4acGQ,Train With Team Sky | GCN's Aerobic Cadence Workout,https://www.youtube.com/watch?v=Umrgux4acGQ,Cadence,31,0,needs_review,missing intervals
V-HmspieYjE,Sweet Spot Endurance Training | 30 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=V-HmspieYjE,HIIT,30,20,ok,
V1ueaUFuTMg,VO2 Max Race Simulation! | 30 Mins HIIT Cycling Workout,https://www.youtube.com/watch?v=V1ueaUFuTMg,HIIT,30,16,ok,
W60jdR6ylRc,Tempo Efforts With Sprint Finishes | 30 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=W60jdR6ylRc,HIIT,29,18,ok,
WKK7_6RZZNM,Olympic Pursuit Efforts | 30 Minute Indoor Cycling Workout Without Music 🔇,https://www.youtube.com/watch?v=WKK7_6RZZNM,Zone 2,30,0,needs_review,missing intervals
WWmYrjOworw,45 Minute Indoor Cycling Ramp Workout | From Threshold To Sprints!,https://www.youtube.com/watch?v=WWmYrjOworw,HIIT,45,0,needs_review,missing intervals
WmlcAORMk9Y,New Year Spin: Get Back To Cycling! | 30-Min Indoor Cycling Workout,https://www.youtube.com/watch?v=WmlcAORMk9Y,Power,30,28,ok,
Wnqm7T2WpE4,30 Minute Indoor Cycling HIIT Sprint Session | The Smash Fest | Without Music 🔇,https://www.youtube.com/watch?v=Wnqm7T2WpE4,HIIT,30,0,needs_review,missing intervals
WtFXazEPxcA,60 Minute Cycling Training Session Without Music 🔇 | Cadence Drills For Strength & Speed!,https://www.youtube.com/watch?v=WtFXazEPxcA,HIIT,60,0,needs_review,missing intervals
XAPUZHksyaw,High Power Anaerobic Sprints | 40 Minute HITT Indoor Cycling Workout,https://www.youtube.com/watch?v=XAPUZHksyaw,HIIT,40,38,ok,
Xjr4VrBO-zs,Step It Up! | 25 Minute Indoor Cycling HIIT,https://www.youtube.com/watch?v=Xjr4VrBO-zs,HIIT,25,21,ok,
Xor3DLlUwDk,30 Minute HIIT Workout | Emily’s Short Mix,https://www.youtube.com/watch?v=Xor3DLlUwDk,HIIT,30,13,ok,
YipJAsAj5Kc,30 Second Sprint Intervals | 25 Minute Indoor Cycling Training Session,https://www.youtube.com/watch?v=YipJAsAj5Kc,HIIT,24,0,needs_review,missing intervals
ZiGE3-L4vyg,HIIT Indoor Cycling Workout | 30 Minute Intervals: Fitness Training,https://www.youtube.com/watch?v=ZiGE3-L4vyg,HIIT,30,0,needs_review,missing intervals
_DfOulVPpdM,30 Minute Indoor Cycling HIIT Sprint Session | The Smash Fest,https://www.youtube.com/watch?v=_DfOulVPpdM,HIIT,30,0,needs_review,missing intervals
a1vLzLHzbgc,Flat Out Efforts! | 25 Minute HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=a1vLzLHzbgc,HIIT,26,0,needs_review,missing intervals
a22l-aeYhB0,Over/Under Threshold Efforts | 35 Minute HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=a22l-aeYhB0,HIIT,35,22,ok,
aVUtuoNBLRI,50 Minute Threshold Pyramid Without Music 🔇 | Increase Your Power!,https://www.youtube.com/watch?v=aVUtuoNBLRI,HIIT,50,0,needs_review,missing intervals
bEfCKGBJc6k,Cadence Training With GCN | Over/Under Interval Workout On The Passo Sella,https://www.youtube.com/watch?v=bEfCKGBJc6k,HIIT,29,0,needs_review,missing intervals
belCpDbmBF0,High Power Anaerobic Sprints | 40 Minute HITT Indoor Cycling Workout - Multi-Language Version,https://www.youtube.com/watch?v=belCpDbmBF0,HIIT,40,38,ok,
br5q9MrVVeU,Gradual Threshold Effort Builds | 30 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=br5q9MrVVeU,Sweet Spot,30,17,ok,
c-LNKkUQ5Wc,30 min FTP HIIT Booster For Longer Efforts | Indoor Cycling Workout,https://www.youtube.com/watch?v=c-LNKkUQ5Wc,HIIT,30,0,needs_review,missing intervals
c-WAYVYmwc4,Hank’s HARDEST Training Session! | Indoor Cycling HIIT Workout,https://www.youtube.com/watch?v=c-WAYVYmwc4,HIIT,49,27,ok,
cTs2fwpqBbg,Race Winning Intervals Workout - Indoor Cycle Training,https://www.youtube.com/watch?v=cTs2fwpqBbg,HIIT,53,0,needs_review,missing intervals
cfIaZsOZ_us,Fat Burning 25 Minute Indoor Cycling Workout – Climb The Passo Sella,https://www.youtube.com/watch?v=cfIaZsOZ_us,Sweet Spot,26,0,needs_review,missing intervals
d4EuOnDiilo,HIIT Workout – High Intensity Race Day Effort – GCN 25 Minute Bike Session,https://www.youtube.com/watch?v=d4EuOnDiilo,HIIT,25,0,needs_review,missing intervals
d6oWk-C2164,30 Minute HIIT Ramp Session Indoor Cycling Workout Without Music 🔇,https://www.youtube.com/watch?v=d6oWk-C2164,HIIT,30,0,needs_review,missing intervals
eNyVyngn0l8,The Full Pyramid | 30 Minute HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=eNyVyngn0l8,HIIT,30,0,needs_review,missing intervals
ew1oXzVC-7M,40 Minute Aerobic Efforts With Max Sprints,https://www.youtube.com/watch?v=ew1oXzVC-7M,HIIT,40,0,needs_review,missing intervals
ewrf_rCHUdA,15 Min HIIT Cardio Indoor Cycling Workout | Belly Fat Loss Exercise,https://www.youtube.com/watch?v=ewrf_rCHUdA,HIIT,15,0,needs_review,missing intervals
fEKKHAEg_B8,20 Minute HIIT Leg Buster!,https://www.youtube.com/watch?v=fEKKHAEg_B8,HIIT,20,0,needs_review,missing intervals
fU22PlDpiSw,30 Minute HIIT Cardio Indoor Cycling Workout Without Music 🔇 | Lose Weight Fast,https://www.youtube.com/watch?v=fU22PlDpiSw,HIIT,30,0,needs_review,missing intervals
g7aFu8D7OZw,The Hurt Locker | 30 Minutes Indoor Cycling HIIT,https://www.youtube.com/watch?v=g7aFu8D7OZw,HIIT,30,19,ok,
gryPYiipR5M,HIIT Indoor Cycling Workout | 25 Minute Sprint Intervals,https://www.youtube.com/watch?v=gryPYiipR5M,HIIT,26,0,needs_review,missing intervals
iR9quS91C40,Sprint To The Music | 25 Minute HIIT Cycling Workout,https://www.youtube.com/watch?v=iR9quS91C40,HIIT,25,0,needs_review,missing intervals
iif-w7vDdMs,Nasty Pasty Sprint Session | 17 Mins HIIT Cycling Workout,https://www.youtube.com/watch?v=iif-w7vDdMs,HIIT,17,0,needs_review,missing intervals
jY8MwfuyK94,60 Minute Cycling Training Session | Cadence Drills For Strength & Speed!,https://www.youtube.com/watch?v=jY8MwfuyK94,HIIT,60,0,needs_review,missing intervals
jsfxXUiMjzc,Steepest Climb In The World | 45 Mins Real Time Cycling Workout!,https://www.youtube.com/watch?v=jsfxXUiMjzc,Power,46,0,needs_review,missing intervals
k0xAOVmL6zg,45 Minute Cycling Training Session Without Music 🔇 | Sandwich MAX efforts. No rest for the wicked!,https://www.youtube.com/watch?v=k0xAOVmL6zg,HIIT,45,0,needs_review,missing intervals
kQn0bykg7j0,40 Minute Aerobic Efforts With Max Sprints Without Music 🔇,https://www.youtube.com/watch?v=kQn0bykg7j0,HIIT,40,0,needs_review,missing intervals
kn0KhpQgpr4,Spin To Win! | 20 Minute Indoor Cycling Training Session Without Music,https://www.youtube.com/watch?v=kn0KhpQgpr4,Sweet Spot,20,0,needs_review,missing intervals
ksmjvCOSYnI,1 Minute VO2 Max Surges! | 30 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=ksmjvCOSYnI,VO2max,33,20,ok,
kyifymSXvNk,90-Second Extended Accelerations | 30 Minute HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=kyifymSXvNk,HIIT,30,20,ok,
lFbjsRvjF-A,Cycling Workout - Get Fit With GCN's 60 Minute Turbo Trainer Class,https://www.youtube.com/watch?v=lFbjsRvjF-A,Non-workout,60,0,skipped,non-workout
lQxo1lZ8H1Q,30 Minute Workout - Indoor Cycling Hill Climb Training,https://www.youtube.com/watch?v=lQxo1lZ8H1Q,HIIT,31,0,needs_review,missing intervals
lUqhsi_D4l4,FTP Builder! | 42 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=lUqhsi_D4l4,Cadence,42,0,needs_review,missing intervals
leMhp6CDr3M,50 Mins Aerobic Efforts - Drop Ollie Like A Boss! | GCN Training Workouts,https://www.youtube.com/watch?v=leMhp6CDr3M,Zone 2,50,0,needs_review,missing intervals
mY_TLS9fo20,30 Minute V02 Max Cycling Indoor Training Session Without Music 🔇,https://www.youtube.com/watch?v=mY_TLS9fo20,VO2max,30,0,needs_review,missing intervals
mv0H9iCz8Ms,45 Minute Cycle Training Workout - Sprint Training,https://www.youtube.com/watch?v=mv0H9iCz8Ms,Non-workout,46,0,skipped,non-workout
ndh2LxWvwTc,20 Min Cardio | Spin Bike Workout,https://www.youtube.com/watch?v=ndh2LxWvwTc,VO2max,20,0,needs_review,missing intervals
nm0-zczXcik,Repeat Your Max! | 40 Minute HIIT Cycling Workout,https://www.youtube.com/watch?v=nm0-zczXcik,HIIT,40,0,needs_review,missing intervals
pH4ISSkJ4bw,Sprint Surges | 30 Mins Indoor Cycling HIIT Workout,https://www.youtube.com/watch?v=pH4ISSkJ4bw,HIIT,32,26,ok,
p_HF6m2-i8Y,Sprints For Climbing! | 26 Minutes HIIT Attack,https://www.youtube.com/watch?v=p_HF6m2-i8Y,HIIT,26,0,needs_review,missing intervals
paPUOE14KLk,Fast Fitness Workout – Get Fit With GCN's 30 Minute High Cadence Bike Workout,https://www.youtube.com/watch?v=paPUOE14KLk,HIIT,30,0,needs_review,missing intervals
qIh2PXq1Oz0,60 Minutes Of Brutal Power! | GCN Training Session,https://www.youtube.com/watch?v=qIh2PXq1Oz0,Power,60,0,needs_review,missing intervals
qTIM0tqWoTU,A Little Bit Of Everything! | 40 Minute HIIT Cycling Workout,https://www.youtube.com/watch?v=qTIM0tqWoTU,HIIT,40,0,needs_review,missing intervals
rNGNgLA-PeA,Reverse HIIT Race Winning Intervals | 1 Hour Indoor Cycling Session,https://www.youtube.com/watch?v=rNGNgLA-PeA,HIIT,60,0,needs_review,missing intervals
sNZkm6a0MLc,60 Mins Progressive Intervals - Steps To Glory! | GCN Training Workouts Without Music 🔇,https://www.youtube.com/watch?v=sNZkm6a0MLc,HIIT,60,0,needs_review,missing intervals
uGnWzZ6kXrA,HIIT – 25 Minute Cycling Workout – Hill Training,https://www.youtube.com/watch?v=uGnWzZ6kXrA,HIIT,25,0,needs_review,missing intervals
uZOBOsNKi7E,Reverse Steps | 60 Minutes HIIT Cycling Workout,https://www.youtube.com/watch?v=uZOBOsNKi7E,HIIT,60,0,needs_review,missing intervals
udQfbLzLAYE,Four Minute Devils | 25 Mins HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=udQfbLzLAYE,HIIT,26,20,ok,
v8A-qBWSMK0,45 Minute Indoor Cycling Ramp Workout Without Music 🔇 | From Threshold To Sprints!,https://www.youtube.com/watch?v=v8A-qBWSMK0,HIIT,45,0,needs_review,missing intervals
vIq0l_nvYKc,30 Second Sprints! | HIIT 30 Minute Indoor Cycling Session,https://www.youtube.com/watch?v=vIq0l_nvYKc,HIIT,30,0,needs_review,missing intervals
vNcY0mcq4PU,5 Gruelling Minutes | 40 Minute HIIT Indoor Workout,https://www.youtube.com/watch?v=vNcY0mcq4PU,HIIT,40,22,ok,
vZ-7ciRpO5s,50 Mins Lead Out Efforts Into Full Sprints! | GCN Indoor Training Session,https://www.youtube.com/watch?v=vZ-7ciRpO5s,HIIT,50,0,needs_review,missing intervals
vyWJ6PCsjGI,Into The Unknown | A Mystery Indoor Cycling HIIT Workout To Keep You On Your Toes,https://www.youtube.com/watch?v=vyWJ6PCsjGI,HIIT,30,0,needs_review,missing intervals
wBVCTLKXdtE,15 Min HIIT Cardio Indoor Cycling Workout Without Music 🔇 | Belly Fat Loss Exercise,https://www.youtube.com/watch?v=wBVCTLKXdtE,HIIT,15,0,needs_review,missing intervals
wD-z-jGVXUY,"Start Hard, Finish Hard! | 30 Mins HIIT Indoor Bike Workout",https://www.youtube.com/watch?v=wD-z-jGVXUY,HIIT,30,13,ok,
wPOcEj5x59w,Intense VO2 Cycling Efforts! | 30 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=wPOcEj5x59w,VO2max,30,20,ok,
whHlEyjalrc,30 Second Sprints HIIT Sandwich Session | Indoor Cycling Workout,https://www.youtube.com/watch?v=whHlEyjalrc,HIIT,28,0,needs_review,missing intervals
ww8rVspvaLw,30 Minute High Cadence HIIT Indoor Cycling Cardio Workout | Lose Weight Fast,https://www.youtube.com/watch?v=ww8rVspvaLw,HIIT,30,0,needs_review,missing intervals
xAUkHJOAdLY,Fast Paced Cadence Variations! | 25 Minute Indoor Cycling Workout,https://www.youtube.com/watch?v=xAUkHJOAdLY,Cadence,25,38,ok,
xIGaVRXPQ-Y,The Climb | 30 Minute HIIT Indoor Cycling Workout,https://www.youtube.com/watch?v=xIGaVRXPQ-Y,HIIT,30,17,ok,
yOJ56kSnsQw,40 Minute Drop Ollie At All Cost Indoor Training Session,https://www.youtube.com/watch?v=yOJ56kSnsQw,Power,40,0,needs_review,missing intervals
yS91kZgp1zo,Intense High Tempo Bike Workout | 30 Minute HIIT Session,https://www.youtube.com/watch?v=yS91kZgp1zo,HIIT,29,0,needs_review,missing intervals
ybLM983BOCk,HIIT Indoor Cycling Workout | 35 Minute Torque Power Intervals,https://www.youtube.com/watch?v=ybLM983BOCk,HIIT,33,0,needs_review,missing intervals
yi-QGmyKhL4,55 Minute Cycling Training Ramp Session | Dialling In Your Training Zones | Without Music 🔇,https://www.youtube.com/watch?v=yi-QGmyKhL4,HIIT,55,0,needs_review,missing intervals
ymPISBYuUew,FTP Builder! | 42 Minute Indoor Cycling Workout Without Music 🔇,https://www.youtube.com/watch?v=ymPISBYuUew,Cadence,42,0,needs_review,missing intervals
ziTiZVGoinE,20 Minute Spin Training Session Without Music 🔇 | Time To Spin Out!,https://www.youtube.com/watch?v=ziTiZVGoinE,Cadence,20,0,needs_review,missing intervals
